ю╖д║,цЬа╓юо╫ц,цЬа╓аж╠Б,фР╠у╟╙,цж╪р╟╙,цж╢К╟╙
╟ОаЖ╬ою╬AWS(╠╓аж),2023-08-29 02:00,H,99340,99330,99350
╟ОаЖ╬ою╬AWS(╠╓аж),2023-08-29 03:00,H,99332,99330,99340
╟ОаЖ╬ою╬AWS(╠╓аж),2023-08-29 04:00,H,99333,99320,99340
╟ОаЖ╬ою╬AWS(╠╓аж),2023-08-29 05:00,H,99272,99250,99300
╟ОаЖ╬ою╬AWS(╠╓аж),2023-08-29 06:00,H,99283,99270,99300
╟ОаЖ╬ою╬AWS(╠╓аж),2023-08-29 07:00,H,99298,99290,99310
╟ОаЖ╬ою╬AWS(╠╓аж),2023-08-29 08:00,H,99297,99290,99300
╟ОаЖ╬ою╬AWS(╠╓аж),2023-08-29 09:00,H,99317,99310,99340
╟ОаЖ╬ою╬AWS(╠╓аж),2023-08-29 10:00,H,99312,99280,99330
╟ОаЖ╬ою╬AWS(╠╓аж),2023-08-29 11:00,H,99273,99250,99300
╟ОаЖ╬ою╬AWS(╠╓аж),2023-08-29 12:00,H,99223,99200,99240
╟ОаЖ╬ою╬AWS(╠╓аж),2023-08-29 13:00,H,99230,99210,99240
╟ОаЖ╬ою╬AWS(╠╓аж),2023-08-29 14:00,H,99257,99250,99270
╟ОаЖ╬ою╬AWS(╠╓аж),2023-08-29 15:00,H,99292,99260,99320
╟ОаЖ╬ою╬AWS(╠╓аж),2023-08-29 16:00,H,99352,99330,99380
╟ОаЖ╬ою╬AWS(╠╓аж),2023-08-29 17:00,H,99413,99400,99440
╟ОаЖ╬ою╬AWS(╠╓аж),2023-08-29 18:00,H,99463,99430,99490
╟ОаЖ╬ою╬AWS(╠╓аж),2023-08-29 19:00,H,99537,99500,99570
╟ОаЖ╬ою╬AWS(╠╓аж),2023-08-29 20:00,H,99618,99580,99650
╟ОаЖ╬ою╬AWS(╠╓аж),2023-08-29 21:00,H,99663,99650,99680
╟ОаЖ╬ою╬AWS(╠╓аж),2023-08-29 22:00,H,99688,99680,99700
╟ОаЖ╬ою╬AWS(╠╓аж),2023-08-29 23:00,H,99717,99690,99740
╟ОаЖ╬ою╬AWS(╠╓аж),2023-08-30 00:00,H,99718,99700,99740
╟ОаЖ╬ою╬AWS(╠╓аж),2023-08-30 01:00,H,99707,99700,99710
╟ОаЖ╬ою╬AWS(╠╓аж),2023-08-30 02:00,H,99720,99700,99730
╟ОаЖ╬ою╬AWS(╠╓аж),2023-08-30 03:00,H,99737,99720,99750
╟ОаЖ╬ою╬AWS(╠╓аж),2023-08-30 04:00,H,99737,99720,99750
╟ОаЖ╬ою╬AWS(╠╓аж),2023-08-30 05:00,H,99732,99720,99750
╟ОаЖ╬ою╬AWS(╠╓аж),2023-08-30 06:00,H,99775,99750,99790
╟ОаЖ╬ою╬AWS(╠╓аж),2023-08-30 07:00,H,99795,99780,99800
╟ОаЖ╬ою╬AWS(╠╓аж),2023-08-30 08:00,H,99797,99790,99810
╟ОаЖ╬ою╬AWS(╠╓аж),2023-08-30 09:00,H,99808,99800,99820
╟ОаЖ╬ою╬AWS(╠╓аж),2023-08-30 10:00,H,99818,99800,99830
╟ОаЖ╬ою╬AWS(╠╓аж),2023-08-30 11:00,H,99782,99760,99800
╟ОаЖ╬ою╬AWS(╠╓аж),2023-08-30 12:00,H,99740,99730,99750
╟ОаЖ╬ою╬AWS(╠╓аж),2023-08-30 13:00,H,99702,99680,99720
╟ОаЖ╬ою╬AWS(╠╓аж),2023-08-30 14:00,H,99697,99690,99710
╟ОаЖ╬ою╬AWS(╠╓аж),2023-08-30 15:00,H,99708,99690,99720
╟ОаЖ╬ою╬AWS(╠╓аж),2023-08-30 16:00,H,99728,99720,99730
╟ОаЖ╬ою╬AWS(╠╓аж),2023-08-30 17:00,H,99735,99730,99750
╟ОаЖ╬ою╬AWS(╠╓аж),2023-08-30 18:00,H,99738,99730,99750
╟ОаЖ╬ою╬AWS(╠╓аж),2023-08-30 19:00,H,99777,99750,99820
╟ОаЖ╬ою╬AWS(╠╓аж),2023-08-30 20:00,H,99830,99820,99840
╟ОаЖ╬ою╬AWS(╠╓аж),2023-08-30 21:00,H,99848,99840,99860
╟ОаЖ╬ою╬AWS(╠╓аж),2023-08-30 22:00,H,99862,99860,99870
╟ОаЖ╬ою╬AWS(╠╓аж),2023-08-30 23:00,H,99855,99840,99870
╟ОаЖ╬ою╬AWS(╠╓аж),2023-08-31 00:00,H,99865,99850,99880
╟ОаЖ╬ою╬AWS(╠╓аж),2023-08-31 01:00,H,99843,99830,99860
╟ОаЖ╬ою╬AWS(╠╓аж),2023-08-31 02:00,H,99845,99840,99850
╟ОаЖ╬ою╬AWS(╠╓аж),2023-08-31 03:00,H,99837,99820,99850
╟ОаЖ╬ою╬AWS(╠╓аж),2023-08-31 04:00,H,99823,99810,99830
╟ОаЖ╬ою╬AWS(╠╓аж),2023-08-31 05:00,H,99842,99830,99850
╟ОаЖ╬ою╬AWS(╠╓аж),2023-08-31 06:00,H,99870,99840,99890
╟ОаЖ╬ою╬AWS(╠╓аж),2023-08-31 07:00,H,99902,99890,99920
╟ОаЖ╬ою╬AWS(╠╓аж),2023-08-31 08:00,H,99927,99890,99950
╟ОаЖ╬ою╬AWS(╠╓аж),2023-08-31 09:00,H,99945,99940,99950
╟ОаЖ╬ою╬AWS(╠╓аж),2023-08-31 10:00,H,99945,99930,99960
╟ОаЖ╬ою╬AWS(╠╓аж),2023-08-31 11:00,H,99972,99960,99980
╟ОаЖ╬ою╬AWS(╠╓аж),2023-08-31 12:00,H,99942,99920,99960
╟ОаЖ╬ою╬AWS(╠╓аж),2023-08-31 13:00,H,99888,99870,99910
╟ОаЖ╬ою╬AWS(╠╓аж),2023-08-31 14:00,H,99850,99840,99860
╟ОаЖ╬ою╬AWS(╠╓аж),2023-08-31 15:00,H,99833,99830,99840
╟ОаЖ╬ою╬AWS(╠╓аж),2023-08-31 16:00,H,99842,99830,99850
╟ОаЖ╬ою╬AWS(╠╓аж),2023-08-31 17:00,H,99857,99850,99860
╟ОаЖ╬ою╬AWS(╠╓аж),2023-08-31 18:00,H,99838,99830,99850
╟ОаЖ╬ою╬AWS(╠╓аж),2023-08-31 19:00,H,99885,99850,99920
╟ОаЖ╬ою╬AWS(╠╓аж),2023-08-31 20:00,H,99970,99950,99990
╟ОаЖ╬ою╬AWS(╠╓аж),2023-08-31 21:00,H,99982,99970,100000
╟ОаЖ╬ою╬AWS(╠╓аж),2023-08-31 22:00,H,100012,100000,100020
╟ОаЖ╬ою╬AWS(╠╓аж),2023-08-31 23:00,H,100035,100030,100040
╟ОаЖ╬ою╬AWS(╠╓аж),2023-09-01 00:00,H,100028,100020,100040
╟ОаЖ╬ою╬AWS(╠╓аж),2023-09-01 01:00,H,100005,99990,100010
╟ОаЖ╬ою╬AWS(╠╓аж),2023-09-01 02:00,H,99993,99990,100000
